Gene	sgRNA	eff
negative_control_na	non-targeting_00440	1
negative_control_na	non-targeting_00210	1
negative_control_na	non-targeting_00329	1
negative_control_na	non-targeting_00562	1
negative_control_na	non-targeting_00449	1
negative_control_na	non-targeting_00376	1
negative_control_na	non-targeting_00463	1
negative_control_na	non-targeting_00509	1
negative_control_na	non-targeting_00513	1
negative_control_na	non-targeting_00280	1
negative_control_na	non-targeting_00047	1
negative_control_na	non-targeting_00043	1
negative_control_na	non-targeting_00086	1
negative_control_na	non-targeting_00182	1
negative_control_na	non-targeting_00595	1
negative_control_na	non-targeting_00462	1
negative_control_na	non-targeting_00024	1
negative_control_na	non-targeting_00255	1
negative_control_na	non-targeting_00111	1
negative_control_na	non-targeting_00091	1
negative_control_na	non-targeting_00542	1
negative_control_na	non-targeting_00488	1
negative_control_na	non-targeting_00090	1
negative_control_na	non-targeting_00460	1
negative_control_na	non-targeting_00410	1
negative_control_na	non-targeting_00574	1
negative_control_na	non-targeting_00620	1
negative_control_na	non-targeting_00604	1
negative_control_na	non-targeting_00309	1
negative_control_na	non-targeting_00010	1
negative_control_na	non-targeting_00358	1
negative_control_na	non-targeting_00006	1
negative_control_na	non-targeting_00264	1
negative_control_na	non-targeting_00181	1
negative_control_na	non-targeting_00243	1
negative_control_na	non-targeting_00339	1
negative_control_na	non-targeting_00042	1
negative_control_na	non-targeting_00220	1
negative_control_na	non-targeting_00608	1
negative_control_na	non-targeting_00523	1
negative_control_na	non-targeting_00521	1
negative_control_na	non-targeting_00046	1
negative_control_na	non-targeting_00593	1
negative_control_na	non-targeting_00614	1
negative_control_na	non-targeting_00296	1
negative_control_na	non-targeting_00201	1
negative_control_na	non-targeting_00071	1
negative_control_na	non-targeting_00285	1
negative_control_na	non-targeting_00034	1
negative_control_na	non-targeting_00597	1
negative_control_na	non-targeting_00379	1
negative_control_na	non-targeting_00081	1
negative_control_na	non-targeting_00472	1
negative_control_na	non-targeting_00215	1
negative_control_na	non-targeting_00425	1
negative_control_na	non-targeting_00517	1
negative_control_na	non-targeting_00560	1
negative_control_na	non-targeting_00522	1
negative_control_na	non-targeting_00375	1
negative_control_na	non-targeting_00476	1
negative_control_na	non-targeting_00360	1
negative_control_na	non-targeting_00437	1
negative_control_na	non-targeting_00419	1
negative_control_na	non-targeting_00184	1
negative_control_na	non-targeting_00353	1
negative_control_na	non-targeting_00577	1
negative_control_na	non-targeting_00256	1
negative_control_na	non-targeting_00265	1
negative_control_na	non-targeting_00331	1
negative_control_na	non-targeting_00129	1
negative_control_na	non-targeting_00109	1
negative_control_na	non-targeting_00231	1
negative_control_na	non-targeting_00429	1
negative_control_na	non-targeting_00465	1
negative_control_na	non-targeting_00456	1
negative_control_na	non-targeting_00467	1
negative_control_na	non-targeting_00402	1
negative_control_na	non-targeting_00217	1
negative_control_na	non-targeting_00368	1
negative_control_na	non-targeting_00219	1
negative_control_na	non-targeting_00096	1
negative_control_na	non-targeting_00134	1
negative_control_na	non-targeting_00063	1
negative_control_na	non-targeting_00321	1
negative_control_na	non-targeting_00198	1
negative_control_na	non-targeting_00001	1
negative_control_na	non-targeting_00471	1
negative_control_na	non-targeting_00080	1
negative_control_na	non-targeting_00194	1
negative_control_na	non-targeting_00537	1
negative_control_na	non-targeting_00263	1
negative_control_na	non-targeting_00099	1
negative_control_na	non-targeting_00190	1
negative_control_na	non-targeting_00238	1
negative_control_na	non-targeting_00578	1
negative_control_na	non-targeting_00315	1
negative_control_na	non-targeting_00032	1
negative_control_na	non-targeting_00093	1
negative_control_na	non-targeting_00539	1
negative_control_na	non-targeting_00160	1
negative_control_na	non-targeting_00466	1
negative_control_na	non-targeting_00490	1
negative_control_na	non-targeting_00527	1
negative_control_na	non-targeting_00261	1
negative_control_na	non-targeting_00162	1
negative_control_na	non-targeting_00434	1
negative_control_na	non-targeting_00011	1
negative_control_na	non-targeting_00142	1
negative_control_na	non-targeting_00192	1
negative_control_na	non-targeting_00144	1
negative_control_na	non-targeting_00441	1
negative_control_na	non-targeting_00002	1
negative_control_na	non-targeting_00191	1
negative_control_na	non-targeting_00579	1
negative_control_na	non-targeting_00281	1
negative_control_na	non-targeting_00069	1
negative_control_na	non-targeting_00554	1
negative_control_na	non-targeting_00235	1
negative_control_na	non-targeting_00400	1
negative_control_na	non-targeting_00531	1
negative_control_na	non-targeting_00295	1
negative_control_na	non-targeting_00266	1
negative_control_na	non-targeting_00113	1
negative_control_na	non-targeting_00031	1
negative_control_na	non-targeting_00205	1
negative_control_na	non-targeting_00591	1
negative_control_na	non-targeting_00435	1
negative_control_na	non-targeting_00126	1
negative_control_na	non-targeting_00242	1
negative_control_na	non-targeting_00409	1
negative_control_na	non-targeting_00432	1
negative_control_na	non-targeting_00349	1
negative_control_na	non-targeting_00520	1
negative_control_na	non-targeting_00257	1
negative_control_na	non-targeting_00286	1
